company,careers_url,startup_tie,ats,fit_level,current_take,next_action,notes
Abridge,https://www.abridge.com/careers,Pittsburgh Startup,Ashby,P1 ready,"Promoted into the starter rotation. Real Ashby board, visible compensation, and a clean Pittsburgh/remote technical slice.",Let Abridge run in the regular starter config and only expand it after a little more moderation history.,"Current clean slice: Senior Full Stack Engineer, Strategic Partnerships Technical Director, Engineering Manager, Federal."
Anthroware,https://anthroware.com/careers,Asheville Agency,Workable,P3 hold,"Listed Workable path currently resolves to Workable oops, so there is no usable public board to ingest from right now.",Treat as a lead only unless a real public careers board or corrected Workable account surfaces.,"Original CSV marked Workable, but the public board could not be confirmed in this pass."
Apis Creative,https://apiscreative.com/careers,Morgantown Agency,Custom,P3 research,Useful lead from startup/agencies list.,Research further if it becomes a priority.,Keep as a lead from the startup/agencies lane.
Astrobotic,https://www.astrobotic.com/company/careers/,Pittsburgh Startup,PrimePay Recruit,P1 ready,Promoted into the starter rotation. Real Pittsburgh PrimePay Recruit source with public salary ranges and a clean approved engineering slice.,Let Astrobotic run in the regular starter config as a capped source and only tune it further if moderation starts surfacing edge-case roles.,Approved eval batch: 3 for 3. Regular rotation is capped to keep the overall startup mix balanced.
Bellhop,https://www.bellhop.com/careers,Chattanooga Hub,Rippling,P2 research,"Public Rippling board confirmed, but the current visible opening is finance/consulting rather than in-bounds technical work.",Keep Bellhop as a lead and recheck later for technical openings before building a Rippling adapter.,"Original CSV marked Greenhouse, but the live board is Rippling. Lever link appears stale."
BlastPoint,https://blastpoint.com/careers/,Pittsburgh Startup,Greenhouse,P1 ready,Real Pittsburgh Greenhouse board with visible compensation and one approved DevOps Manager role. The source has now proven itself under HOLLER.WORKS moderation.,Promote BlastPoint into the regular startup rotation as a capped source and only tune further if the Data Engineer lane proves worth it.,Current live board has 3 roles total. VP of Engineering stays excluded for now.
Card Isle,https://www.cardisle.com/careers,Blacksburg Startup,Custom,P3 research,Useful lead from startup/agencies list.,Research further if it becomes a priority.,Keep as a lead from the startup/agencies lane.
Cognistx,https://www.cognistx.com/careers,Pittsburgh Agency,Custom,P3 research,Useful lead from startup/agencies list.,Research further if it becomes a priority.,Keep as a lead from the startup/agencies lane.
Craftpeak,https://craftpeak.com/careers,Asheville Agency,Custom,P3 research,Useful lead from startup/agencies list.,Research further if it becomes a priority.,Keep as a lead from the startup/agencies lane.
DeepSig,https://www.deepsig.ai/careers,Blacksburg Startup,Paylocity,P2 research,"Public Paylocity board confirmed with multiple technical roles, but sampled public detail pages do not expose numeric compensation.","Keep as a promising lead, but do not ingest until a public compensation-bearing surface is found.","Visible technical slice includes Senior Software Engineer, DevOps Engineer, and wireless ML roles in Arlington."
Elite HRV,https://elitehrv.com/careers,Asheville Startup,Custom,P3 research,Useful lead from startup/agencies list.,Research further if it becomes a priority.,Keep as a lead from the startup/agencies lane.
FreightWaves,https://freightwaves.com/careers,Chattanooga Hub,Unconfirmed,P3 hold,Listed careers URL did not resolve to a usable public jobs surface in this pass.,Treat FreightWaves as a lead only unless a real public ATS surface is found.,"Original CSV marked Lever, but no working public Lever account was confirmed."
GaN (Geeks and Nerds),https://www.geeksandnerds.com/careers,Huntsville Small Tech,Custom,P3 research,Useful lead from startup/agencies list.,Research further if it becomes a priority.,Keep as a lead from the startup/agencies lane.
Gather AI,https://www.gather.ai/careers,Pittsburgh Startup,Greenhouse,P2 research,"Real Pittsburgh Greenhouse board with many technical roles, but the current public postings do not expose usable compensation on the technical slice.",Keep Gather AI in the queue and recheck later if compensation starts showing publicly.,"Strong technical mix, but comp-required policy correctly blocks it today."
Hellbender,https://hellbender.com/careers/,Pittsburgh Small Tech,Greenhouse,P2 research,"Official site links to a real Pittsburgh Greenhouse board with in-bounds engineering roles, but the current public postings do not expose numeric compensation.",Keep as a strong research lane and recheck if public compensation appears.,Visible roles include Embedded Software Engineer and Perception Engineer in Pittsburgh.
Immediate,https://joinimmediate.com/careers,Birmingham Startup,Custom,P3 hold,"Open positions are public, but the visible slice is accounting, account executive, and support rather than a strong technical mix.",Recheck later only if product or engineering openings appear.,Current surface does not justify seeding work under HOLLER.WORKS standards.
InspectionGo,https://inspectiongo.com/careers,Morgantown Startup,BambooHR,P2 research,"BambooHR careers board confirmed, but compensation is not publicly visible and the role surface still needs tighter extraction.",Keep as a research lane and only continue if public compensation can be confirmed.,"Morgantown startup with a real BambooHR board, so the plumbing looks promising if the compensation issue clears."
Jetpack Workflow,https://jetpackworkflow.com/careers,Pittsburgh Startup,Workable,P2 research,"Workable board and adapter are confirmed, but the current public board has zero openings.",Recheck later; the adapter is ready whenever openings return.,"Original CSV marked JazzHR, but the live board is Workable."
KlariVis,https://klarivis.com/careers,Roanoke Startup,Paylocity,P3 hold,"Public Paylocity detail page is real, but the current visible role is generic sales and no public numeric compensation is shown.",Keep as a lead and only revisit if technical openings appear with compensation.,Current visible role: Senior Sales Executive.
Linq,https://buy.linqapp.com/pages/careers,Birmingham Startup,Custom,P3 research,Useful lead from startup/agencies list.,Research further if it becomes a priority.,Keep as a lead from the startup/agencies lane.
Mayvue,https://www.mayvue.com/careers,Pittsburgh Small Tech,ApplyToJob,P2 research,"Real ApplyToJob board with multiple technical roles, but the public pages do not currently expose numeric compensation.",Promising lane if public compensation becomes visible; otherwise keep the comp-required line.,"Visible technical roles include Software Development Manager, Software Engineer Mid to Senior Level, and a Full-Stack AI-focused engineer."
Nursesbnb,https://nursesbnb.com/careers,Roanoke Startup,Custom,P3 research,Useful lead from startup/agencies list.,Research further if it becomes a priority.,Keep as a lead from the startup/agencies lane.
PhishFirewall,https://www.phishfirewall.com/careers,Huntsville Startup,Custom,P3 research,Useful lead from startup/agencies list.,Research further if it becomes a priority.,Keep as a lead from the startup/agencies lane.
ResultStack,https://resultstack.com/careers,Chattanooga Agency,Unconfirmed,P3 hold,"Careers page is unstable and returned 500 during this pass, so no reliable structured jobs surface was confirmed.",Treat as a lead only unless a stable public board appears.,Vendor strings on the page were noisy and not enough to justify adapter work.
Skild AI,https://www.skild.ai/career,Pittsburgh Startup,Greenhouse,P1 ready,"Promoted into the starter rotation. Real Pittsburgh-aware Greenhouse board, public salary ranges, and a clean approved AI/robotics/software slice.",Let Skild run in the regular starter config as a capped source and only tune it further if moderation starts surfacing edge-case roles.,Approved eval batch: 12 for 12. Regular rotation is capped to keep the overall starter mix balanced.
Stack AV,https://job-boards.greenhouse.io/stackav,Pittsburgh Startup,Greenhouse,P2 research,"Real Pittsburgh-heavy Greenhouse board with a strong technical slice, but sampled technical postings did not expose usable public compensation.",Keep in the queue and recheck later if compensation starts showing publicly.,"Good technical fit on paper: remote assist, autonomy, ML, and perception roles centered on Pittsburgh."
